Input Size, Insertion Sort, Merge Sort, Heap Sort, Quick Sort
100, 0.000199, 0.000132, 0.000098, 0.000090
500, 0.003278, 0.000760, 0.000867, 0.000524
1000, 0.018387, 0.001318, 0.002767, 0.000992
2000, 0.065990, 0.003000, 0.003484, 0.001644
3000, 0.141295, 0.004120, 0.005917, 0.002352
4000, 0.258382, 0.005960, 0.009224, 0.003897
5000, 0.406357, 0.007231, 0.013262, 0.005430
6000, 0.629744, 0.008342, 0.013094, 0.004369
7000, 0.834392, 0.012551, 0.017195, 0.005635
8000, 1.120202, 0.012978, 0.017883, 0.006902
9000, 1.745172, 0.025972, 0.041991, 0.018550
10000, 2.361785, 0.017313, 0.029473, 0.008476
